epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9488,1.90398,3.60846,4.42363,1.25038,0,0,0,0,0,0,0,0,0,3.30856,331.843,5.75319,1.93714,0,9.28571e-05,9.28571e-05,0.0908071
2,129.56,1.80524,3.08811,3.3745,1.10899,0,0,0,0,0,0,0,0,0,2.39803,79.3531,5.04586,1.43929,0,0.000192221,0.000192221,0.0809065
3,154.513,1.78687,2.58458,3.15204,1.15298,0,0,0,0,0,0,0,0,0,2.07424,32.7608,4.58644,1.25402,0,0.000290924,0.000290924,0.0710052
4,178.655,1.91201,2.61055,2.85931,1.20356,0,1,0.05263,0.52631,0.29006,1,0.05263,0.52631,0.29124,1.93104,13.9553,4.4056,1.25115,0,0.000388968,0.000388968,0.0611033
5,200.153,1.97012,2.65649,2.74435,1.26526,0,0.57143,0.21053,0.40901,0.20052,0.57143,0.21053,0.40265,0.19842,1.94705,8.53102,4.29741,1.26236,0,0.000486351,0.000486351,0.0512006
6,225.303,2.06228,2.74848,2.41553,1.22361,0,0.41379,0.63158,0.48259,0.1866,0.32759,0.5,0.40373,0.13309,1.91201,5.39187,4.02533,1.22626,0,0.000583075,0.000583075,0.0412974
7,250.97,1.89012,2.59972,2.29308,1.15544,0,0.24576,0.76316,0.41415,0.15915,0.20339,0.63158,0.38101,0.12157,1.97662,4.44542,3.87078,1.22918,0,0.000679139,0.000679139,0.0313934
8,276.67,1.84727,2.51099,2.22493,1.10391,0,0.10801,0.81579,0.52132,0.2128,0.10801,0.81579,0.50377,0.17161,1.91779,3.48041,3.4218,1.17933,0,0.000774542,0.000774542,0.0214888
9,302.464,1.74598,2.46133,2.85701,1.04339,0,0.76116,0.25212,0.5695,0.29021,0.76116,0.25212,0.58504,0.24685,1.75743,2.65798,2.87704,1.10444,0,0.000869286,0.000869286,0.0115836
10,334.021,1.92303,2.51075,3.33871,1.11278,0,0.6093,0.28739,0.4601,0.25364,0.71017,0.38715,0.53171,0.25473,1.74902,2.26357,2.89973,1.11252,0,0.000963369,0.000963369,0.00167765
11,360.015,1.90198,2.24519,2.52374,1.13721,0,0.61084,0.34211,0.40796,0.21783,0.68871,0.39474,0.46807,0.23943,1.73962,2.23501,2.77924,1.1292,0,0.000967,0.000967,0.000967
12,391.015,1.94117,2.47173,2.40695,1.18874,0,0.69769,0.44737,0.47128,0.22708,0.68551,0.44737,0.49634,0.24461,1.7366,2.2533,2.5174,1.13445,0,0.0009637,0.0009637,0.0009637
13,428.871,1.8692,2.43466,2.2228,1.13279,0,0.73782,0.55263,0.60711,0.29144,0.79915,0.52363,0.63291,0.28128,1.7221,2.38191,2.28587,1.13218,0,0.0009604,0.0009604,0.0009604
14,462.316,1.74845,2.25418,1.90005,1.10034,0,0.66326,0.55263,0.63,0.30903,0.70184,0.49569,0.61109,0.26498,1.7008,2.33333,2.1253,1.15099,0,0.0009571,0.0009571,0.0009571
15,482.332,1.81172,2.34652,1.90662,1.12316,0,0.7139,0.52632,0.62464,0.30679,0.70184,0.49569,0.60621,0.26276,1.7008,2.33333,2.1253,1.15099,0,0.0009538,0.0009538,0.0009538
16,514.47,1.91697,2.45869,2.10766,1.16745,0,0.5805,0.65789,0.63519,0.31843,0.5805,0.65789,0.63286,0.28058,1.67785,2.19933,2.03557,1.152,0,0.0009505,0.0009505,0.0009505
17,546.107,1.89853,2.64492,1.99783,1.21923,0,0.44429,0.47368,0.42112,0.21369,0.52869,0.55263,0.4765,0.19485,1.72095,2.20449,2.15498,1.16553,0,0.0009472,0.0009472,0.0009472
18,572.684,1.76254,2.37597,2.11473,1.16889,0,0.4984,0.68421,0.48477,0.22482,0.51852,0.71053,0.5283,0.23802,1.77322,2.28295,2.24748,1.2052,0,0.0009439,0.0009439,0.0009439
19,600.638,1.77395,2.2721,2.03685,1.17459,0,0.52316,0.47368,0.3885,0.19731,0.52316,0.47368,0.40062,0.18867,1.77753,2.29821,2.17769,1.1912,0,0.0009406,0.0009406,0.0009406
20,631.049,1.853,2.35657,2.18617,1.1553,0,0.64985,0.68421,0.60945,0.33864,0.64985,0.68421,0.6311,0.29514,1.78514,2.2988,2.08746,1.17883,0,0.0009373,0.0009373,0.0009373
21,658.893,1.81671,2.38167,2.07422,1.12413,0,0.58481,0.68421,0.60933,0.33243,0.58481,0.68421,0.61046,0.31102,1.80862,2.23845,2.01623,1.17091,0,0.000934,0.000934,0.000934
22,688.147,1.85903,2.26809,2.63586,1.09968,0,0.48059,0.68421,0.60188,0.30616,0.48059,0.68421,0.60499,0.3124,1.79053,2.15793,1.97243,1.15733,0,0.0009307,0.0009307,0.0009307
23,706.379,1.7778,2.22789,1.83774,1.12478,0,0.48059,0.68421,0.60188,0.30616,0.48059,0.68421,0.60499,0.3124,1.79053,2.15793,1.97243,1.15733,0,0.0009274,0.0009274,0.0009274
24,731.587,1.76553,2.29782,2.06073,1.09696,0,0.67875,0.57895,0.64746,0.32859,0.67875,0.57895,0.65453,0.34894,1.7686,2.01568,1.89842,1.13862,0,0.0009241,0.0009241,0.0009241
25,757.242,1.7505,2.3318,1.87493,1.10075,0,0.5954,0.65789,0.63794,0.32458,0.5954,0.65789,0.64048,0.35471,1.78729,1.99125,1.88659,1.15726,0,0.0009208,0.0009208,0.0009208
26,782.311,1.83287,1.99178,1.86453,1.08496,0,0.6791,0.63158,0.65277,0.30827,0.6791,0.63158,0.65467,0.33363,1.83191,2.09994,1.8886,1.16624,0,0.0009175,0.0009175,0.0009175
27,806.225,1.78495,2.2311,1.87905,1.14863,0,0.60293,0.71939,0.66768,0.30892,0.60293,0.71939,0.66892,0.33096,1.79404,2.16047,1.87123,1.16758,0,0.0009142,0.0009142,0.0009142
28,827.013,1.72597,2.04822,1.84135,1.08175,0,0.59265,0.68421,0.61406,0.29184,0.59265,0.68421,0.61262,0.27279,1.76493,2.16573,1.90861,1.15803,0,0.0009109,0.0009109,0.0009109
29,849.166,1.83458,2.54813,1.94807,1.16926,0,0.54571,0.71053,0.58279,0.26669,0.5468,0.71053,0.58103,0.24259,1.69474,2.11432,1.9438,1.13508,0,0.0009076,0.0009076,0.0009076
30,871.734,1.97737,2.49338,2.04852,1.15958,0,0.55229,0.60526,0.5211,0.23442,0.47048,0.72495,0.4835,0.19204,1.69106,2.04352,2.06493,1.14777,0,0.0009043,0.0009043,0.0009043
31,892.322,1.68029,2.47083,2.83785,1.03636,0,0.55229,0.60526,0.5211,0.23442,0.47048,0.72495,0.4835,0.19204,1.69106,2.04352,2.06493,1.14777,0,0.000901,0.000901,0.000901
32,918.364,1.75778,2.24863,1.87583,1.09207,0,0.52184,0.73684,0.48244,0.22173,0.50194,0.71053,0.45202,0.19104,1.76419,2.00006,2.13276,1.1849,0,0.0008977,0.0008977,0.0008977
33,948.565,1.76677,2.09172,2.19605,1.10429,0,0.56612,0.55263,0.48616,0.21975,0.56612,0.55263,0.4899,0.22433,1.80802,1.96963,2.12359,1.20595,0,0.0008944,0.0008944,0.0008944
34,976.601,2.05812,2.41009,2.33443,1.26294,0,0.56739,0.63158,0.54618,0.25768,0.56739,0.63158,0.54877,0.27925,1.80934,1.97567,2.00725,1.22593,0,0.0008911,0.0008911,0.0008911
35,1000.7,1.6751,2.23219,1.75345,1.08271,0,0.51382,0.63158,0.55862,0.28097,0.51382,0.63158,0.5638,0.28319,1.76105,2.06286,1.90509,1.2488,0,0.0008878,0.0008878,0.0008878
36,1021.07,1.82314,2.32854,1.63174,1.10018,0,0.57226,0.57895,0.57847,0.30204,0.48151,0.70876,0.56262,0.26541,1.75776,2.18513,1.85589,1.24625,0,0.0008845,0.0008845,0.0008845
37,1040.98,1.74299,2.37239,1.90441,1.12093,0,0.57301,0.55263,0.57727,0.30005,0.45489,0.68421,0.55758,0.2575,1.76297,2.29849,1.83082,1.2278,0,0.0008812,0.0008812,0.0008812
38,1063.62,1.81718,2.24381,1.71712,1.13903,0,0.48194,0.71053,0.57428,0.30524,0.46245,0.68421,0.55564,0.26715,1.74071,2.24112,1.86954,1.22107,0,0.0008779,0.0008779,0.0008779
39,1079.08,1.82614,1.94508,2.18279,1.09265,0,0.48194,0.71053,0.57428,0.30524,0.46245,0.68421,0.55564,0.26715,1.74071,2.24112,1.86954,1.22107,0,0.0008746,0.0008746,0.0008746
40,1102.93,1.78491,2.32377,1.78221,1.12226,0,0.48959,0.71053,0.54555,0.27578,0.47007,0.68421,0.52835,0.24282,1.76971,2.21853,1.9185,1.23821,0,0.0008713,0.0008713,0.0008713
41,1124.35,1.60641,2.2248,1.68404,1.10275,0,0.52667,0.68421,0.56666,0.2826,0.52667,0.68421,0.56517,0.27487,1.70781,2.07645,1.86016,1.18487,0,0.000868,0.000868,0.000868
42,1142.74,1.72773,2.12398,1.69077,1.0999,0,0.56456,0.63158,0.61289,0.32491,0.56456,0.63158,0.6101,0.31075,1.72389,1.99723,1.76519,1.16955,0,0.0008647,0.0008647,0.0008647
43,1161.22,1.55468,2.16814,2.57814,0.9848,0,0.60371,0.64159,0.65326,0.34844,0.60371,0.64159,0.65162,0.33531,1.73352,2.01888,1.72419,1.17296,0,0.0008614,0.0008614,0.0008614
44,1179.59,1.71716,2.19162,1.65306,1.16435,0,0.63501,0.60526,0.65096,0.33924,0.63501,0.60526,0.65405,0.33685,1.74731,2.09029,1.82764,1.17329,0,0.0008581,0.0008581,0.0008581
45,1198.15,1.73097,2.09983,1.66128,1.089,0,0.58308,0.52632,0.63278,0.33022,0.58308,0.52632,0.63492,0.33111,1.72652,2.05151,1.84556,1.15913,0,0.0008548,0.0008548,0.0008548
46,1217.24,1.72899,2.13067,1.50999,1.08731,0,0.47849,0.65789,0.63837,0.35174,0.47849,0.65789,0.63995,0.33827,1.68766,1.96627,1.78137,1.15661,0,0.0008515,0.0008515,0.0008515
47,1234.4,1.81586,2.27532,1.93629,1.13309,0,0.47849,0.65789,0.63837,0.35174,0.47849,0.65789,0.63995,0.33827,1.68766,1.96627,1.78137,1.15661,0,0.0008482,0.0008482,0.0008482
48,1254.08,1.72325,2.28065,1.75807,1.11564,0,0.52507,0.71053,0.66431,0.36129,0.57765,0.73684,0.67373,0.34463,1.64083,1.91431,1.65812,1.15881,0,0.0008449,0.0008449,0.0008449
49,1273.97,1.90166,2.18436,2.19072,1.10841,0,0.52218,0.74784,0.67321,0.37283,0.53758,0.76316,0.68451,0.34409,1.68037,1.93595,1.58578,1.19114,0,0.0008416,0.0008416,0.0008416
50,1293.19,1.68959,2.33103,1.66017,1.11563,0,0.61676,0.7201,0.69843,0.38068,0.63863,0.74422,0.70495,0.33647,1.68909,2.00771,1.57948,1.20832,0,0.0008383,0.0008383,0.0008383
51,1311.97,1.69144,2.32607,1.67973,1.10488,0,0.5369,0.84211,0.68252,0.35418,0.51906,0.81579,0.66986,0.32445,1.68673,2.05086,1.64405,1.21165,0,0.000835,0.000835,0.000835
52,1334.46,1.53992,2.03345,1.48972,1.04814,0,0.5803,0.76413,0.70412,0.37405,0.56077,0.73918,0.68689,0.33314,1.7046,2.05369,1.69588,1.22637,0,0.0008317,0.0008317,0.0008317
53,1356.48,1.75391,2.11181,1.8107,1.10971,0,0.63555,0.78947,0.68248,0.37716,0.63555,0.78947,0.69667,0.341,1.71997,2.04921,1.79611,1.21436,0,0.0008284,0.0008284,0.0008284
54,1375.36,1.913,2.37604,1.77356,1.24105,0,0.59639,0.73684,0.68297,0.36956,0.65533,0.70065,0.71081,0.33418,1.71296,2.04139,1.81178,1.20429,0,0.0008251,0.0008251,0.0008251
55,1392.54,1.62654,2.00316,2.0138,1.06548,0,0.59639,0.73684,0.68297,0.36956,0.65533,0.70065,0.71081,0.33418,1.71296,2.04139,1.81178,1.20429,0,0.0008218,0.0008218,0.0008218
56,1416.45,1.82186,2.33821,1.60263,1.17431,0,0.65914,0.65789,0.67789,0.36008,0.65914,0.65789,0.68876,0.35004,1.71189,2.04603,1.69151,1.18898,0,0.0008185,0.0008185,0.0008185
